pwsid,pws_name,sgti_ft_per_yr,vuln_rank,n_wells_used,n_wells_significant,search_radius_m,systems_ranked,basin_id,basin_name,basin_slug,trend_start_year
CA5400964,SIERRA VISTA ASSOCIATION,-4.449,1,2,2,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5410025,WOODVILLE PUBLIC UTILITY DIST,-3.05,2,2,1,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5400641,TEVISTON COMMUNITY SERVICES DISTRICT,-2.766,3,1,0,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5400792,WOODVILLE FARM LABOR CENTER,-2.514,4,2,2,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5410050,ALPAUGH COMMUNITY SERVICES DISTRICT,-2.334,5,1,0,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5400767,PORTERVILLE - EAST PLANO,-2.21,6,2,2,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5410048,PORTERVILLE-JONES CORNER,-1.929,7,2,2,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5400529,"SHADY GROVE  MOBILE HOME PARK, LLC",-1.929,8,1,1,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5400718,WILLIAMS MUTUAL  WATER COMPANY,-1.837,9,1,1,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5400604,MOUNTAIN VIEW DUPLEXES,-1.474,10,3,3,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5400504,PORTERVILLE MOBILE VILLAGE,-1.434,11,2,1,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5400935,CWS - MULLEN WATER COMPANY,-1.268,12,3,2,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5400544,ALLENSWORTH CSD,-1.051,13,2,2,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5400602,EAGLE'S NEST RESORT,-0.686,14,4,3,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5410801,PORTERVILLE DEVELOPMENTAL CENTER,-0.634,15,6,5,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5400542,DUCOR CSD,2.188,16,1,0,2000,16,5-022.13,SAN JOAQUIN VALLEY - TULE,san_joaquin_valley_tule,1995
CA5403144,ALI MUTUAL WATER CO,-3.555,1,1,1,2000,13,5-022.11,SAN JOAQUIN VALLEY - KAWEAH,san_joaquin_valley_kaweah,1995
CA5402038,PATTERSON TRACT CSD,-2.889,2,1,1,2000,13,5-022.11,SAN JOAQUIN VALLEY - KAWEAH,san_joaquin_valley_kaweah,1995
CA5400880,THE LAKES ASSOCIATION,-2.576,3,1,1,2000,13,5-022.11,SAN JOAQUIN VALLEY - KAWEAH,san_joaquin_valley_kaweah,1995
CA5403217,OKIEVILLE HIGHLAND ACRES MWC,-2.326,4,7,6,2000,13,5-022.11,SAN JOAQUIN VALLEY - KAWEAH,san_joaquin_valley_kaweah,1995
CA5400881,SUNRISE MUTUAL WATER CO.,-2.324,5,2,2,2000,13,5-022.11,SAN JOAQUIN VALLEY - KAWEAH,san_joaquin_valley_kaweah,1995
CA5400679,MADSON GARDENS APARTMENTS,-2.21,6,4,4,2000,13,5-022.11,SAN JOAQUIN VALLEY - KAWEAH,san_joaquin_valley_kaweah,1995
CA5410041,CWS - TULCO WATER COMPANY,-2.155,7,1,0,2000,13,5-022.11,SAN JOAQUIN VALLEY - KAWEAH,san_joaquin_valley_kaweah,1995
CA5400567,TOOLEVILLE MUTUAL NON PROFIT WATER ASSN,-2.013,8,8,1,2000,13,5-022.11,SAN JOAQUIN VALLEY - KAWEAH,san_joaquin_valley_kaweah,1995
CA5400682,PLAINVIEW MWC - CENTRAL WATER,-1.956,9,15,12,2000,13,5-022.11,SAN JOAQUIN VALLEY - KAWEAH,san_joaquin_valley_kaweah,1995
CA5410039,PLAINVIEW MUTUAL WATER COMPANY,-1.924,10,15,11,2000,13,5-022.11,SAN JOAQUIN VALLEY - KAWEAH,san_joaquin_valley_kaweah,1995
CA5400631,LINNELL FARM LABOR CENTER,-1.699,11,1,1,2000,13,5-022.11,SAN JOAQUIN VALLEY - KAWEAH,san_joaquin_valley_kaweah,1995
CA5400647,YOKOHL MUTUAL WATER CO,-1.557,12,7,7,2000,13,5-022.11,SAN JOAQUIN VALLEY - KAWEAH,san_joaquin_valley_kaweah,1995
CA5400903,TRACT 92  COMMUNITY SERVICES DISTRICT,-1.403,13,4,3,2000,13,5-022.11,SAN JOAQUIN VALLEY - KAWEAH,san_joaquin_valley_kaweah,1995
CA1000369,ZONNEVELD DAIRY - CEDAR,-3.901,1,3,3,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000627,ZONNEVELD DAIRY - CERINI,-3.727,2,9,9,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1010020,LATON COMMUNITY SERVICES DISTRICT,-2.974,3,3,3,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000053,LANARE COMMUNITY SERVICES DIST,-2.897,4,2,2,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000238,CAMDEN TRAILER PARK,-2.242,5,2,2,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA5403023,DELFT COLONY WATER,-2.017,6,2,2,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1009120,RAU DAIRY,-1.874,7,9,9,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000199,FOWLER CARE CENTER,-1.831,8,1,1,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000454,VIKING RV PARK,-1.747,9,1,1,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA5400550,SEVILLE WATER COMPANY,-1.724,10,2,2,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA5410017,LONDON COMMUNITY SERV DIST,-1.718,11,2,1,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000551,FCSA 43 - RAISIN CITY,-1.647,12,5,5,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA5400537,LINDY'S LANDING,-1.434,13,2,2,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000471,FCSA 39 - A AND B,-1.344,14,1,1,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000570,JUVENILE JUSTICE CAMPUS,-1.33,15,1,1,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000244,"COMUNIDAD NUEVO LAGO, INC",-1.33,16,1,1,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA5403084,FAIRWAY MUTUAL WATER CO,-1.3,17,2,2,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000023,FCSA 14 - BELMONT MANOR,-1.236,18,4,4,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000004,BELMONT WATER CORPORATION,-1.233,19,3,3,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1010035,DEL REY COMMUNITY SERV DIST,-1.191,20,2,1,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1010049,BIOLA COMMUNITY SERVICES DIST,-1.166,21,4,4,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA5403213,TEEN CHALLENGE,-1.07,22,2,2,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA5400553,DEL ORO TRAVER DISTRICT,-1.0,23,2,2,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000324,MANNING GARDENS CARE CENTER INC,-0.927,24,1,0,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000554,FCSA 10A - MANSIONETTE ESTATES,-0.898,25,8,8,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000078,FCWWD 42/ALLUVIAL & FANCHER,-0.842,26,10,10,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000018,EASTON ESTATES WATER COMPANY,-0.825,27,2,1,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000039,FCSA 10 - CUMORAH KNOLLS,-0.814,28,12,12,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA5401003,EAST OROSI COMMUNITY SERVICES DISTRICT,-0.782,29,4,1,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA5400929,RIVERLAND RESORT,-0.694,30,2,2,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA5403043,YETTEM WATER SYSTEM,-0.621,31,3,1,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1010030,TRANQUILLITY IRRIGATION DISTRICT,-0.537,32,4,3,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA5402047,GLEANINGS FOR THE HUNGRY,-0.463,33,2,0,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA5400824,SULTANA COMMUNITY SERVICES DISTRICT,-0.4,34,4,0,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000295,KINGS PARK APARTMENTS,-0.289,35,1,0,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000550,FCSA 44D - MONTE VERDI,-0.237,36,1,0,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000426,RIVERBEND MOBILE HOME & RV PARK,-0.116,37,1,0,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000021,FCSA 05 - WILDWOOD ISLAND,-0.075,38,3,0,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000247,SHERWOOD FOREST MHP,-0.046,39,1,0,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1010042,MALAGA COUNTY WATER DISTRICT,0.575,40,1,1,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1000366,SUNNYSIDE CONVALESCENT HOSP,0.575,41,1,1,2000,41,5-022.08,SAN JOAQUIN VALLEY - KINGS,san_joaquin_valley_kings,1995
CA1610006,STRATFORD PUD,-3.483,1,1,1,2000,5,5-022.12,SAN JOAQUIN VALLEY - TULARE LAKE,san_joaquin_valley_tulare_lake,1995
CA1610007,HOME GARDEN CSD,-3.177,2,4,4,2000,5,5-022.12,SAN JOAQUIN VALLEY - TULARE LAKE,san_joaquin_valley_tulare_lake,1995
CA1010020,LATON COMMUNITY SERVICES DISTRICT,-2.267,3,1,1,2000,5,5-022.12,SAN JOAQUIN VALLEY - TULARE LAKE,san_joaquin_valley_tulare_lake,1995
CA1600507,HARDWICK WATER COMPANY,-1.893,4,5,5,2000,5,5-022.12,SAN JOAQUIN VALLEY - TULARE LAKE,san_joaquin_valley_tulare_lake,1995
CA1600293,15TH AVENUE,-0.874,5,1,1,2000,5,5-022.12,SAN JOAQUIN VALLEY - TULARE LAKE,san_joaquin_valley_tulare_lake,1995
CA1500546,HARVEST MOON MUTUAL WATER CO,-6.481,1,5,4,2000,42,5-022.14,SAN JOAQUIN VALLEY - KERN COUNTY,san_joaquin_valley_kern_county,1995
CA1500543,AGAPE MUTUAL WATER SYSTEM,-6.184,2,3,3,2000,42,5-022.14,SAN JOAQUIN VALLEY - KERN COUNTY,san_joaquin_valley_kern_county,1995
CA1500535,MANON MANOR MUTUAL WATER COMPANY,-5.355,3,4,4,2000,42,5-022.14,SAN JOAQUIN VALLEY - KERN COUNTY,san_joaquin_valley_kern_county,1995
CA1500557,STOCKDALE RANCHOS MUTUAL WATER CO,-5.245,4,6,6,2000,42,5-022.14,SAN JOAQUIN VALLEY - KERN COUNTY,san_joaquin_valley_kern_county,1995
CA1500560,KRANENBURG WATER SYSTEM,-5.169,5,5,5,2000,42,5-022.14,SAN JOAQUIN VALLEY - KERN COUNTY,san_joaquin_valley_kern_county,1995
CA1503669,NORTH KRANENBURG WS,-5.126,6,6,6,2000,42,5-022.14,SAN JOAQUIN VALLEY - KERN COUNTY,san_joaquin_valley_kern_county,1995
CA1502629,HEATH BRIMHALL P.O.A.,-5.018,7,1,1,2000,42,5-022.14,SAN JOAQUIN VALLEY - KERN COUNTY,san_joaquin_valley_kern_county,1995
CA1500507,ST. CLAIR RANCHOS MUTUAL WATER CO.,-5.008,8,5,5,2000,42,5-022.14,SAN JOAQUIN VALLEY - KERN COUNTY,san_joaquin_valley_kern_county,1995
CA1502620,POND MUTUAL WATER COMPANY,-4.675,9,1,1,2000,42,5-022.14,SAN JOAQUIN VALLEY - KERN COUNTY,san_joaquin_valley_kern_county,1995
CA1500483,ALLEN ROAD MUTUAL WATER SYSTEM,-4.337,10,3,3,2000,42,5-022.14,SAN JOAQUIN VALLEY - KERN COUNTY,san_joaquin_valley_kern_county,1995
CA1503475,WESTERN ACRES MUTUAL WATER COMPANY,-4.224,11,3,3,2000,42,5-022.14,SAN JOAQUIN VALLEY - KERN COUNTY,san_joaquin_valley_kern_county,1995
CA1500544,ENOS LANE PUBLIC UTILITY DISTRICT,-4.164,12,5,5,2000,42,5-022.14,SAN JOAQUIN VALLEY - KERN COUNTY,san_joaquin_valley_kern_county,1995
CA1500409,BROCK MUTUAL WATER COMPANY,-4.011,13,4,4,2000,42,5-022.14,SAN JOAQUIN VALLEY - KERN COUNTY,san_joaquin_valley_kern_county,1995
